"num_item_id","definition","type","category","8","9","10","11","12","13","14","15","16","17","18"
165,"toe","word","body_parts",0.2,0.1,0.14,0.27,0.25,0.37,0.45,0.48,0.69,0.78,0.76
166,"tongue","word","body_parts",0.09,0.04,0.06,0.14,0.2,0.25,0.3,0.34,0.55,0.62,0.65
167,"tummy","word","body_parts",0.11,0.14,0.15,0.28,0.29,0.44,0.53,0.55,0.78,0.84,0.89
168,"bathroom","word","furniture_rooms",0.14,0.12,0.12,0.2,0.31,0.39,0.48,0.64,0.73,0.76,0.87
169,"bathtub","word","furniture_rooms",0.26,0.24,0.26,0.39,0.51,0.6,0.66,0.73,0.85,0.89,0.93
170,"bed","word","furniture_rooms",0.14,0.18,0.25,0.28,0.32,0.48,0.6,0.7,0.78,0.75,0.88
171,"bedroom","word","furniture_rooms",0.03,0.07,0.09,0.19,0.2,0.26,0.38,0.48,0.61,0.61,0.75
172,"chair","word","furniture_rooms",0.09,0.09,0.05,0.22,0.27,0.41,0.49,0.62,0.8,0.78,0.93
173,"couch","word","furniture_rooms",0.06,0.06,0.07,0.17,0.18,0.23,0.3,0.4,0.55,0.63,0.8
174,"crib","word","furniture_rooms",0.31,0.16,0.19,0.39,0.29,0.35,0.5,0.53,0.6,0.67,0.67
175,"door","word","furniture_rooms",0.06,0.06,0.13,0.4,0.44,0.54,0.58,0.71,0.84,0.81,0.9
176,"drawer","word","furniture_rooms",0,0.01,0.02,0.05,0.15,0.18,0.19,0.25,0.38,0.39,0.5
177,"garage","word","furniture_rooms",0,0,0.01,0.01,0.05,0.1,0.12,0.18,0.33,0.28,0.38
178,"high chair","word","furniture_rooms",0.2,0.18,0.15,0.34,0.39,0.49,0.5,0.57,0.76,0.81,0.83
179,"kitchen","word","furniture_rooms",0.06,0.09,0.11,0.22,0.24,0.33,0.45,0.46,0.66,0.72,0.83
180,"living room","word","furniture_rooms",0.09,0.03,0.03,0.12,0.06,0.11,0.2,0.31,0.33,0.37,0.54
181,"oven","word","furniture_rooms",0,0.03,0.01,0.03,0.09,0.1,0.18,0.26,0.32,0.38,0.54
182,"play pen","word","furniture_rooms",0.06,0.12,0.09,0.19,0.14,0.12,0.21,0.22,0.19,0.19,0.18
183,"potty","word","furniture_rooms",0.03,0.02,0.04,0.05,0.11,0.14,0.19,0.24,0.43,0.47,0.68
184,"refrigerator","word","furniture_rooms",0.06,0.09,0.08,0.14,0.15,0.28,0.37,0.47,0.6,0.66,0.77
185,"rocking chair","word","furniture_rooms",0.09,0.05,0.01,0.09,0.13,0.16,0.2,0.26,0.42,0.45,0.58
186,"sink","word","furniture_rooms",0,0.02,0.02,0.02,0.05,0.07,0.12,0.22,0.3,0.42,0.61
187,"stairs","word","furniture_rooms",0,0.03,0.06,0.14,0.17,0.33,0.36,0.53,0.66,0.62,0.81
188,"stove","word","furniture_rooms",0.06,0,0.03,0.06,0.06,0.07,0.15,0.26,0.26,0.26,0.42
189,"table","word","furniture_rooms",0.06,0.05,0.06,0.11,0.17,0.25,0.35,0.46,0.61,0.65,0.76
190,"TV","word","furniture_rooms",0.14,0.15,0.19,0.3,0.42,0.47,0.55,0.69,0.78,0.79,0.85
191,"window","word","furniture_rooms",0.09,0.09,0.06,0.15,0.22,0.3,0.43,0.47,0.57,0.65,0.8
192,"blanket","word","household",0.2,0.22,0.2,0.4,0.43,0.5,0.56,0.63,0.76,0.85,0.89
193,"bottle","word","household",0.46,0.54,0.58,0.71,0.76,0.72,0.73,0.84,0.79,0.87,0.88
194,"bowl","word","household",0.03,0.02,0.06,0.13,0.13,0.26,0.29,0.42,0.6,0.58,0.79
195,"box","word","household",0.03,0.03,0.03,0.09,0.1,0.2,0.22,0.4,0.49,0.56,0.65
196,"broom","word","household",0.03,0.02,0.05,0.06,0.14,0.21,0.28,0.38,0.51,0.62,0.64
197,"brush","word","household",0.09,0.06,0.13,0.21,0.29,0.53,0.6,0.6,0.82,0.85,0.83
198,"clock","word","household",0.03,0.02,0.03,0.09,0.1,0.17,0.14,0.28,0.37,0.44,0.55
199,"comb","word","household",0.11,0.02,0.1,0.14,0.19,0.3,0.34,0.34,0.56,0.56,0.6
200,"cup","word","household",0.14,0.15,0.32,0.53,0.55,0.7,0.69,0.76,0.88,0.9,0.93
201,"dish","word","household",0.03,0.02,0.03,0.06,0.11,0.13,0.17,0.31,0.35,0.38,0.42
202,"fork","word","household",0.09,0.01,0.02,0.05,0.12,0.18,0.25,0.32,0.54,0.55,0.74
203,"glass","word","household",0.09,0,0.02,0.12,0.15,0.15,0.28,0.28,0.35,0.3,0.55
204,"glasses","word","household",0.06,0.12,0.07,0.15,0.24,0.39,0.35,0.41,0.62,0.61,0.63
205,"hammer","word","household",0,0,0.01,0.01,0.07,0.1,0.1,0.18,0.26,0.33,0.39
206,"keys","word","household",0.14,0.2,0.29,0.46,0.52,0.64,0.65,0.76,0.87,0.9,0.94
207,"lamp","word","household",0.09,0.02,0.02,0.03,0.04,0.1,0.13,0.23,0.26,0.3,0.4
208,"light","word","household",0.09,0.1,0.1,0.19,0.33,0.41,0.38,0.48,0.68,0.75,0.77
209,"medicine","word","household",0.14,0.06,0.1,0.12,0.18,0.21,0.28,0.25,0.43,0.48,0.56
210,"money","word","household",0.14,0.03,0.03,0.03,0.07,0.07,0.12,0.26,0.25,0.3,0.44
211,"paper","word","household",0.09,0.07,0.09,0.15,0.15,0.22,0.19,0.34,0.5,0.51,0.67
212,"penny","word","household",0.03,0.01,0.01,0.01,0.03,0.04,0.06,0.17,0.14,0.11,0.18
213,"picture","word","household",0.03,0.04,0.08,0.11,0.16,0.24,0.22,0.37,0.48,0.58,0.65
214,"pillow","word","household",0.11,0.06,0.07,0.16,0.22,0.3,0.32,0.43,0.54,0.7,0.75
215,"plant","word","household",0,0.04,0.06,0.11,0.17,0.21,0.19,0.31,0.37,0.36,0.51
216,"plate","word","household",0,0.01,0.01,0.06,0.11,0.15,0.21,0.32,0.43,0.53,0.71
217,"purse","word","household",0.06,0.04,0.03,0.1,0.19,0.21,0.29,0.35,0.46,0.46,0.69
218,"radio","word","household",0,0.02,0.05,0.11,0.1,0.11,0.21,0.33,0.27,0.33,0.4
219,"scissors","word","household",0,0.01,0,0,0.03,0.05,0.08,0.14,0.16,0.19,0.37
220,"soap","word","household",0.06,0.05,0.06,0.1,0.09,0.17,0.22,0.38,0.45,0.55,0.69
221,"spoon","word","household",0.09,0.2,0.17,0.35,0.41,0.5,0.52,0.6,0.78,0.79,0.92
222,"telephone","word","household",0.14,0.18,0.28,0.43,0.53,0.67,0.62,0.7,0.89,0.91,0.93
223,"toothbrush","word","household",0.03,0.07,0.09,0.19,0.27,0.5,0.51,0.6,0.81,0.85,0.92
224,"towel","word","household",0.03,0.03,0.05,0.07,0.16,0.21,0.22,0.37,0.52,0.62,0.65
225,"trash","word","household",0.03,0.03,0.06,0.07,0.12,0.2,0.25,0.4,0.57,0.46,0.62
226,"vacuum","word","household",0.06,0.06,0.08,0.26,0.28,0.29,0.4,0.46,0.56,0.67,0.75
227,"watch (object)","word","household",0.03,0.04,0.05,0.14,0.1,0.2,0.22,0.32,0.42,0.44,0.44
228,"backyard","word","outside",0.03,0.05,0.06,0.11,0.17,0.2,0.26,0.32,0.44,0.4,0.48
229,"beach","word","outside",0.03,0.02,0.01,0.01,0.06,0.05,0.09,0.16,0.15,0.16,0.17
230,"church*","word","outside",0.03,0.03,0.02,0.05,0.08,0.09,0.13,0.17,0.17,0.19,0.24
